Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,CLOSE,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2021-05-28,EQ,1428.2,"1,480.00","1,421.00","1,417.15","1,465.00",1465.45,"1,455.60","1,480.00",527.85,2689838,"3,91,53,25,491.15",76118
2021-05-31,EQ,1465.25,"1,494.90","1,455.00","1,465.45","1,468.35",1471.2,"1,476.31","1,494.90",565,2939614,"4,33,97,77,010.80",89998
2021-06-01,EQ,1475.6,"1,479.15","1,437.00","1,471.20","1,448.65",1444.55,"1,451.49","1,494.90",565,1117622,"1,62,22,16,820.90",43308
2021-06-02,EQ,1444,"1,454.45","1,425.55","1,444.55","1,443.90",1442.25,"1,436.71","1,494.90",565,1797545,"2,58,25,57,775.80",38943
2021-06-03,EQ,1445.2,"1,464.00","1,436.05","1,442.25","1,457.80",1458.75,"1,453.75","1,494.90",565,1006763,"1,46,35,84,996.80",37994
2021-06-04,EQ,1458.8,"1,507.00","1,452.35","1,458.75","1,507.00",1503.25,"1,491.24","1,507.00",565,2556166,"3,81,18,55,760.75",74637
2021-06-07,EQ,1518.6,"1,530.95","1,495.60","1,503.25","1,499.50",1501,"1,515.80","1,530.95",565,2491140,"3,77,60,66,962.90",75003
2021-06-08,EQ,1508.95,"1,516.05","1,490.20","1,501.00","1,502.05",1503.15,"1,503.85","1,530.95",565,1027390,"1,54,50,37,495.35",36223
2021-06-09,EQ,1510.1,"1,527.90","1,485.00","1,503.15","1,488.00",1492.05,"1,508.28","1,530.95",565,1727303,"2,60,52,52,091.65",56272
2021-06-10,EQ,1491,"1,517.00","1,487.20","1,492.05","1,493.00",1492.5,"1,500.83","1,530.95",565,875988,"1,31,47,10,669.15",27231
2021-06-11,EQ,1505.9,"1,510.00","1,475.50","1,492.50","1,491.00",1490.6,"1,491.88","1,530.95",565,895452,"1,33,59,03,581.85",28962
2021-06-14,EQ,1481.5,"1,497.70","1,457.20","1,490.60","1,489.30",1493,"1,485.04","1,530.95",565,682770,"1,01,39,39,256.95",24634
2021-06-15,EQ,1495,"1,515.00","1,488.00","1,493.00","1,495.95",1495.25,"1,501.40","1,530.95",565,814630,"1,22,30,82,907.05",27146
2021-06-16,EQ,1495.5,"1,501.55","1,463.90","1,495.25","1,470.35",1469.2,"1,479.53","1,530.95",565,917679,"1,35,77,31,432.65",26517
2021-06-17,EQ,1465,"1,490.65","1,450.55","1,469.20","1,454.90",1458.2,"1,470.63","1,530.95",565,795435,"1,16,97,88,068.35",37360
2021-06-18,EQ,1464,"1,489.20","1,420.05","1,458.20","1,487.05",1480.75,"1,460.45","1,530.95",565,1485497,"2,16,94,97,184.05",43025
2021-06-21,EQ,1461.3,"1,500.85","1,455.00","1,480.75","1,494.65",1496.65,"1,477.16","1,530.95",565,1145818,"1,69,25,58,789.55",40273
2021-06-22,EQ,1500,"1,520.80","1,493.05","1,496.65","1,497.80",1496.3,"1,506.39","1,530.95",565,1404669,"2,11,59,84,180.30",65923
2021-06-23,EQ,1500,"1,512.25","1,484.00","1,496.30","1,494.50",1498.75,"1,499.82","1,530.95",565,973788,"1,46,05,07,130.45",35961
2021-06-24,EQ,1498,"1,507.00","1,487.50","1,498.75","1,494.60",1498.9,"1,493.56","1,530.95",565,1145885,"1,71,14,43,994.05",29185
2021-06-25,EQ,1501.7,"1,515.00","1,490.00","1,498.90","1,505.00",1506.85,"1,503.44","1,530.95",565,1194203,"1,79,54,18,225.30",39009
2021-06-28,EQ,1515,"1,547.00","1,512.75","1,506.85","1,519.00",1520.6,"1,527.93","1,547.00",565,2447539,"3,73,96,71,204.90",79678
2021-06-29,EQ,1517,"1,523.25","1,499.00","1,520.60","1,502.85",1503.3,"1,506.40","1,547.00",565,734358,"1,10,62,35,021.75",28928
2021-06-30,EQ,1503.3,"1,509.70","1,491.00","1,503.30","1,499.65",1498.75,"1,499.87","1,547.00",565,899143,"1,34,85,94,908.40",35046
2021-07-01,EQ,1503.25,"1,508.35","1,489.00","1,498.75","1,500.00",1500.3,"1,497.79","1,547.00",565,635048,"95,11,67,864.75",21139
2021-07-02,EQ,1505,"1,512.95","1,487.00","1,500.30","1,488.50",1489.75,"1,496.49","1,547.00",565,742338,"1,11,08,99,409.55",33539
2021-07-05,EQ,1497.5,"1,508.00","1,486.00","1,489.75","1,488.00",1489.7,"1,493.31","1,547.00",565,784526,"1,17,15,36,786.30",25674
2021-07-06,EQ,1491.75,"1,525.00","1,491.70","1,489.70","1,495.55",1497.25,"1,507.51","1,547.00",565,1821054,"2,74,52,63,363.80",52162
